OBJECTID,Name,FolderPath,SymbolID,Type,CigButtsYN,Point_X,Point_Y
1,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,0,Grey,0,1343198.698,412251.89
2,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342971.24,412175.8311
3,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342766.114,412097.7479
4,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342556.961,411860.5555
5,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342917.032,411689.2199
6,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,0,Grey,0,1342878.469,411583.0997
7,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342815.575,411459.7055
8,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342720.431,411712.0823
9,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342640.807,411752.7752
10,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342377.154,411662.8118
11,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342291.243,411514.7153
12,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,0,Grey,0,1342247.073,411423.6069
13,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342574.984,411220.3619
14,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342076.922,411427.9438
15,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,0,Grey,0,1342101.724,411169.9233
16,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341893.787,410806.2521
17,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342009.383,410184.342
18,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341753.063,410324.7649
19,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341855.162,410228.4331
20,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341776.674,410080.1489
21,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,2,Grey,0,1341564.662,410200.1297
22,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341342.58,410745.8999
23,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1340419.446,411211.3704
24,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1340757.396,411110.5009
25,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1340944.052,411049.1755
26,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341388.528,410790.8624
27,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341627.025,410653.842
28,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341614.122,411085.6413
29,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341232.165,411570.0062
30,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341475.522,411449.2223
31,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341459.66,411412.4566
32,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341437.397,411359.4551
33,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341486.974,411312.0549
34,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341579.934,411268.0301
35,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341679.601,411310.1287
36,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341950.108,411199.0794
37,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341712.401,411365.8133
38,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341799.179,411313.0188
39,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342173.248,411397.975
40,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341916.39,411516.8367
41,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341693.78,411455.5704
42,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341590.824,411519.2005
43,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341592.035,411742.3392
44,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342046.652,411880.9941
45,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343498.826,412718.8343
46,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343105.22,412276.5714
47,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342771.869,412558.8083
48,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342724.753,412702.8231
49,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342647.76,412963.6664
50,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342674.182,412710.0876
51,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342813.207,412304.8499
52,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342469.805,412075.5226
53,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342265.185,412134.3059
54,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342180.553,412445.9267
55,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342145.583,412714.6286
56,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341899.88,412685.1801
57,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341664.661,412363.8593
58,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341695.143,412270.8476
59,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341616.812,412362.1283
60,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341169.116,412025.3891
61,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1341277.792,411719.1276
62,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1340979.639,411741.6082
63,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1340616.138,411661.6113
64,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1342927.532,411046.23
65,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343287.931,411004.3331
66,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1344110.757,411173.8561
67,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343541.562,410728.5771
68,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343565.667,412175.6106
69,Trash Can,Downtown Pittsburgh Public Trash Receptacles/Trash Cans,1,Black,0,1343199.103,412150.7176
